,mean,median,std
matmul1,0.24771007999999997,0.2444,0.009976223889604235
bias1,0.23653632,0.233744,0.0084960502646578
relu1,0.23253504,0.2304,0.005784651249643321
matmul2,0.95623808,0.953616,0.015679272504781065
bias2,0.015073919999999996,0.012048,0.011043561751388667
mse,0.010707199999999998,0.007648,0.011663808066504048
dW2,1.0583828000000002,1.0423200000000001,0.035145918335895976
dZ1,0.1858784,0.18064,0.013444993824423108
relu_b,0.34328703999999993,0.339968,0.008612015851052264
dW1,0.53689216,0.534416,0.008915658537514262
sgd1,0.01435072,0.011312,0.009313469182088611
sgd2,0.00861632,0.007056,0.003934482853448675
cpu_matmul1,,,
cpu_bias1,,,
cpu_relu1,,,
cpu_matmul2,,,
cpu_bias2,,,
cpu_mse,,,
cpu_dW2,,,
cpu_dZ1,,,
cpu_relu_b,,,
cpu_dW1,,,
cpu_sgd1,,,
cpu_sgd2,,,
